sheet,spreading_coef,W072,W073,W075,W076,W091,W092,W093,W101
default,W072_ind,1.0,,,,,,,0.1505
default,W073_ind,,1.0,,,,,,0.0024
default,W075_ind,,,1.0,,,,,0.0075
default,W076_ind,,,,1.0,,,,0.0024
default,W091_ind,,,,,1.0,,,
default,W092_ind,,,,,,1.0,,0.04
default,W093_ind,,,,,,,1.0,
default,W072_hh,1.0,,,,,,,0.1505
default,W075_hh,,,1.0,,,,,0.0075
default,W091_hh,,,,,1.0,,,0.25
default,W092_hh,,,,,,1.0,,0.04
default,W7376_hh,,1.0,,1.0,,,,0.0024
default,W9999_hh,,,,,,,,0.0335
A,W072_ind,1.0,,,,,,,0.1505
A,W073_ind,,1.0,,,,,,0.0024
A,W075_ind,,,1.0,,,,,0.0075
A,W076_ind,,,,1.0,,,,0.0024
A,W091_ind,,,,,1.0,,,0.25
A,W092_ind,,,,,,1.0,,0.04
A,W093_ind,,,,,,,1.0,
A,W072_hh,1.0,,,,,,,0.1505
A,W075_hh,,,1.0,,,,,0.0075
A,W091_hh,,,,,1.0,,,0.25
A,W092_hh,,,,,,1.0,,0.04
A,W7376_hh,,1.0,,1.0,,,,0.0024
A,W9999_hh,,,,,,,,0.0335
C10-C12,W072_ind,1.0,,,,,,,0.1505
C10-C12,W073_ind,,1.0,,,,,,0.0024
C10-C12,W075_ind,,,1.0,,,,,0.0075
C10-C12,W076_ind,,,,1.0,,,,0.0024
C10-C12,W091_ind,,,,,1.0,,,0.25
C10-C12,W092_ind,,,,,,1.0,,0.04
C10-C12,W093_ind,,,,,,,1.0,
C10-C12,W072_hh,1.0,,,,,,,0.1505
C10-C12,W075_hh,,,1.0,,,,,0.0075
C10-C12,W091_hh,,,,,1.0,,,0.25
C10-C12,W092_hh,,,,,,1.0,,0.04
C10-C12,W7376_hh,,1.0,,1.0,,,,0.0024
C10-C12,W9999_hh,,,,,,,,0.0335
G-U_X_G4677,W072_ind,1.0,,,,,,,0.1505
G-U_X_G4677,W073_ind,,1.0,,,,,,0.0024
G-U_X_G4677,W075_ind,,,1.0,,,,,0.0075
G-U_X_G4677,W076_ind,,,,1.0,,,,0.0024
G-U_X_G4677,W091_ind,,,,,1.0,,,0.25
G-U_X_G4677,W092_ind,,,,,,1.0,,0.04
G-U_X_G4677,W093_ind,,,,,,,1.0,
G-U_X_G4677,W072_hh,1.0,,,,,,,0.1505
G-U_X_G4677,W075_hh,,,1.0,,,,,0.0075
G-U_X_G4677,W091_hh,,,,,1.0,,,0.25
G-U_X_G4677,W092_hh,,,,,,1.0,,0.04
G-U_X_G4677,W7376_hh,,1.0,,1.0,,,,0.0024
G-U_X_G4677,W9999_hh,,,,,,,,0.0335
